epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
129,1852.04,0.66752,0.39396,0.97117,0.71227,0.65495,0.66976,0.40974,1.30166,0.9262,1.50239,0.000333058,0.000333058,0.000333058
130,1862.34,0.66871,0.39775,0.98375,0.69952,0.65705,0.66159,0.40854,1.30587,0.98622,1.48523,0.000328558,0.000328558,0.000328558
131,1872.53,0.68839,0.39849,0.98033,0.72571,0.64113,0.66353,0.40743,1.30412,0.96113,1.50208,0.000324058,0.000324058,0.000324058
132,1882.56,0.67077,0.39785,0.97,0.72779,0.63831,0.67076,0.40714,1.3121,0.9333,1.51331,0.000319559,0.000319559,0.000319559
133,1892.56,0.66881,0.39639,0.97828,0.70868,0.6481,0.66133,0.39753,1.33424,0.96156,1.53614,0.000315059,0.000315059,0.000315059
134,1902.58,0.67822,0.39486,0.97416,0.68932,0.6704,0.66518,0.4035,1.32977,0.92559,1.51883,0.00031056,0.00031056,0.00031056
135,1912.85,0.66613,0.39353,0.9702,0.68187,0.65892,0.6606,0.40591,1.31833,0.93769,1.50533,0.00030606,0.00030606,0.00030606
136,1923.04,0.69283,0.3949,0.99008,0.69308,0.6378,0.65912,0.4025,1.32918,1.00322,1.5109,0.000301561,0.000301561,0.000301561
137,1933.24,0.65739,0.38681,0.9777,0.7053,0.65291,0.67153,0.40087,1.321,0.96395,1.49848,0.000297061,0.000297061,0.000297061
138,1943.58,0.66467,0.38734,0.97403,0.72748,0.63916,0.67023,0.40731,1.32077,0.92511,1.50907,0.000292562,0.000292562,0.000292562
139,1953.82,0.67381,0.38998,0.97765,0.70051,0.66835,0.66646,0.41448,1.29857,0.95784,1.48535,0.000288062,0.000288062,0.000288062
140,1964.03,0.66669,0.38556,0.96457,0.68133,0.64107,0.6556,0.40976,1.30826,1.01457,1.49002,0.000283563,0.000283563,0.000283563
141,1974.38,0.6482,0.38796,0.96148,0.70877,0.64805,0.68221,0.40503,1.30814,1.01726,1.50712,0.000279063,0.000279063,0.000279063
142,1984.54,0.6711,0.39215,0.97147,0.75509,0.64446,0.68528,0.41,1.30757,0.9532,1.51095,0.000274563,0.000274563,0.000274563
143,1994.75,0.64502,0.373,0.96776,0.73591,0.65884,0.6774,0.41211,1.2998,0.86808,1.49409,0.000270064,0.000270064,0.000270064
144,2005.08,0.62892,0.36235,0.95217,0.70085,0.66306,0.66601,0.41189,1.30294,0.85889,1.497,0.000265564,0.000265564,0.000265564
145,2015.25,0.65732,0.39161,0.96551,0.71204,0.64595,0.65966,0.40692,1.30866,0.88891,1.51715,0.000261065,0.000261065,0.000261065
146,2025.47,0.66138,0.38039,0.96671,0.6952,0.66853,0.68186,0.39527,1.33175,0.96558,1.5441,0.000256565,0.000256565,0.000256565
147,2035.73,0.6549,0.37203,0.96229,0.72484,0.6498,0.66332,0.40103,1.31918,0.95312,1.52205,0.000252066,0.000252066,0.000252066
148,2045.94,0.6347,0.37127,0.95186,0.71097,0.65005,0.66114,0.40756,1.30002,0.96168,1.494,0.000247566,0.000247566,0.000247566
149,2056.28,0.62317,0.35462,0.94393,0.72861,0.6451,0.6689,0.41184,1.29989,0.99248,1.49062,0.000243067,0.000243067,0.000243067
150,2066.49,0.65827,0.3846,0.97028,0.70837,0.6474,0.65791,0.40507,1.30002,0.99754,1.50302,0.000238567,0.000238567,0.000238567
151,2076.75,0.64283,0.37694,0.96471,0.69638,0.64376,0.65145,0.39658,1.3314,1.00907,1.52306,0.000234068,0.000234068,0.000234068
152,2086.96,0.63114,0.36916,0.9531,0.69817,0.64868,0.65617,0.40105,1.3131,0.97246,1.52145,0.000229568,0.000229568,0.000229568
153,2097.32,0.60603,0.36818,0.94356,0.69636,0.65135,0.65514,0.40489,1.29613,0.97485,1.52122,0.000225068,0.000225068,0.000225068
154,2107.49,0.62524,0.36545,0.96246,0.7112,0.63353,0.64779,0.40109,1.30895,1.00593,1.53193,0.000220569,0.000220569,0.000220569
155,2117.54,0.62894,0.36881,0.95555,0.68383,0.65275,0.65092,0.4057,1.29775,1.01167,1.50356,0.000216069,0.000216069,0.000216069
156,2127.6,0.62091,0.36018,0.95179,0.70288,0.62969,0.65727,0.40627,1.30362,1.0131,1.49384,0.00021157,0.00021157,0.00021157
157,2137.64,0.61512,0.3525,0.94577,0.68432,0.6415,0.66215,0.40834,1.30058,0.99473,1.49377,0.00020707,0.00020707,0.00020707
158,2147.82,0.62152,0.36493,0.95299,0.70725,0.64746,0.66745,0.4087,1.28464,0.99797,1.47778,0.000202571,0.000202571,0.000202571
159,2158.07,0.62445,0.36914,0.95938,0.70432,0.64155,0.66264,0.40836,1.28606,1.02363,1.47314,0.000198071,0.000198071,0.000198071
